HTS-4,COMMODITIES,IMPORT
4811,"PAPER, PAPERBOARD, CELLULOSE WADDING AND WEBS, COATED, IMPREGNATED, SURFACE-COLORED, SURFACE-DECORATED OR PRINTED, NESOI, IN ROLLS OR SHEETS",175514696
4812,"FILTER BLOCKS, SLABS AND PLATES, OF PAPER PULP",812227
4813,"CIGARETTE PAPER, WHETHER OR NOT CUT TO SIZE OR IN THE FORM OF BOOKLETS OR TUBES",1497625
4816,"CARBON PAPER, SELF-COPY PAPER AND OTHER COPYING OR TRANSFER PAPERS, NESOI (NOT OVER 36 CM WIDE), DUPLICATOR STENCILS AND OFFSET PLATES OF PAPER",1824456
4817,"ENVELOPES, LETTER CARDS, POSTCARDS, ETC. OF PAPER OR PAPERBOARD; BOXES, WALLETS ETC. OF PAPER OR PAPERBOARD, WITH AN ASSORTMENT OF PAPER STATIONARY",39690611
4818,"TOILET PAPER, TOWELS AND SIMILAR HOUSEHOLD, SANITARY OR HOSPITAL ARTICLES, ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, OF PAPER, PULP, WADDING ETC",569558772
4819,"CARTONS, BAGS AND OTHER PACKING CONTAINERS OF PAPER, PAPERBOARD, CELLULOSE WADDING ETC.; OFFICE BOX FILES, LETTER TRAYS, ETC. OF PAPER OR PAPERBOARD",1102570730
4820,"REGISTERS, NOTE BOOKS, LETTER PADS AND SIMILAR ARTICLES, BLOTTING PADS, BINDERS, FOLDERS AND OTHER ARTICLES OF STATIONARY, OF PAPER OR PAPERBOARD",575218777
4821,"LABELS OF ALL KINDS, OF PAPER OR PAPERBOARD, WHETHER OR NOT PRINTED",93995794
4822,"BOBBINS, SPOOLS, COPS AND SIMILAR SUPPORTS OF PAPER PULP, PAPER OR PAPERBOARD",192853
4823,"PAPER, PAPERBOARD, CELLULOSE WADDING AND WEBS, CUT TO SIZE OR SHAPE NESOI; ARTICLES OF PAPER PULP, PAPER, PAPERBOARD, CELLULOSE WADDING OR WEBS NESOI",524877076
5001,SILKWORM COCOONS SUITABLE FOR REELING,5500
5002,RAW SILK (NOT THROWN),14080
5003,"SILK WASTE (INCLUDING COCOONS UNSUITABLE FOR REELING, YARN WASTE AND GARNETTED STOCK)",105866
5004,SILK YARN (OTHER THAN SPUN FROM SILK WASTE) NOT PUT UP FOR RETAIL SALE,320336
5005,"YARN SPUN FROM SILK WASTE, NOT PUT UP FOR RETAIL SALE",498320
5006,"SILK YARN AND YARN SPUN FROM SILK WASTE, PUT UP FOR RETAIL SALE; SILK WORM GUT",209150
5007,WOVEN FABRICS OF SILK OR SILK WASTE,20745626
5101,"WOOL, NOT CARDED OR COMBED",215354
5102,"FINE OR COARSE ANIMAL HAIR, NOT CARDED OR COMBED",40971
5103,"WASTE OF WOOL OR OF FINE OR COARSE ANIMAL HAIR, INCLUDING YARN WASTE BUT EXCLUDING GARNETTED STOCK",242330
5104,GARNETTED STOCK OF WOOL OR OF FINE OR COARSE ANIMAL HAIR,19021
5105,"WOOL AND FINE OR COARSE ANIMAL HAIR, CARDED OR COMBED",3440461
5106,"YARN OF CARDED WOOL, NOT PUT UP FOR RETAIL SALE",867595
5107,"YARN OF COMBED WOOL, NOT PUT UP FOR RETAIL SALE",4889971
5108,"YARN OF FINE ANIMAL HAIR (CARDED OR COMBED), NOT PUT UP FOR RETAIL SALE",519547
5109,"YARN OF WOOL OR FINE ANIMAL HAIR, PUT UP FOR RETAIL SALE",3266041
5110,"YARN OF COARSE ANIMAL HAIR OR OF HORSEHAIR (INCLUDING GIMPED HORSEHAIR YARN), WHETHER OR NOT PUT UP FOR RETAIL SALE",16074
5111,WOVEN FABRICS OF CARDED WOOL OR CARDED FINE ANIMAL HAIR,1809755
5112,WOVEN FABRICS OF COMBED WOOL OR COMBED FINE ANIMAL HAIR,6088970
5113,WOVEN FABRICS OF COARSE ANIMAL HAIR OR HORSEHAIR,143967
5201,"COTTON, NOT CARDED OR COMBED",9324
5202,COTTON WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK),18249
5203,"COTTON, CARDED OR COMBED",102500
5204,"COTTON SEWING THREAD, WHETHER OR NOT PUT UP FOR RETAIL SALE",1203823
5205,"COTTON YARN (OTHER THAN SEWING THREAD), CONTAINING 85% (BY WT.) OR MORE COTTON, NOT PUT UP FOR RETAIL SALE",1398791
5206,"COTTON YARN (OTHER THAN SEWING THREAD), CONTAINING LESS THAN 85% (BY WT.) COTTON, NOT PUT UP FOR RETAIL SALE",1093498
5207,COTTON YARN (OTHER THAN SEWING THREAD) PUT UP FOR RETAIL SALE,3766470
5208,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE COTTON BY WEIGHT, WEIGHING NOT MORE THAN 200 G/M2",141331818
5209,"WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE COTTON BY WEIGHT, WEIGHING MORE THAN 200 G/M2",20452419
5210,"WOVEN FABRICS OF COTTON, CONTAINING LESS THAN 85% COTTON BY WEIGHT, MIXED MAINLY OR SOLELY WITH MANMADE FIBERS, WEIGHING NOT MORE THAN 200 G/M2",36169167
5211,"WOVEN FABRICS OF COTTON, CONTAINING LESS THAN 85% COTTON BY WEIGHT, MIXED MAINLY OR SOLELY WITH MANMADE FIBERS, WEIGHING MORE THAN 200 G/M2",17070449
5212,"WOVEN FABRICS OF COTTON (CONTAINING LESS THAN 85% COTTON BY WEIGHT, MIXED MAINLY OR SOLELY WITH OTHER THAN MANMADE FIBERS) NESOI",2980692
5301,"FLAX, RAW OR PROCESSED BUT NOT SPUN; FLAX TOW AND WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK)",374764
5302,"TRUE HEMP (CANNABIS SATIVA L.), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF TRUE HEMP (INCLUDING YARN WASTE AND GARNETTED STOCK)",3065
5303,"JUTE AND OTHER TEXTILE BAST FIBERS NESOI, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBERS (INCLUDING YARN WASTE AND GARNETTED STOCK)",139656
5305,"COCONUT, ABACA (MANILLA HEMP), RAMIE AND VEGETABLE TEXTILE FIBERS NESOI, RAW ETC. BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBERS",1154989
5306,FLAX YARN,105557
5307,"YARN OF JUTE OR OTHER TEXTILE BAST FIBERS NESOI (EXCLUDING FLAX, TRUE HEMP AND RAMIE)",569761
5308,YARN OF VEGETABLE TEXTILE FIBERS NESOI; PAPER YARN,1799295
5309,WOVEN FABRICS OF FLAX,24909374
5310,"WOVEN FABRICS OF JUTE OR OF OTHER TEXTILE BAST FIBERS NESOI (EXCLUDING FLAX, TRUE HEMP AND RAMIE)",5604268
5311,"WOVEN FABRICS OF VEGETABLE TEXTILE FIBERS, NESOI; WOVEN FABRICS OF PAPER YARN",2062875
5401,"SEWING THREAD OF MANMADE FILAMENTS, WHETHER OR NOT PUT UP FOR RETAIL SALE",4888400
5402,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENTS OF LESS THAN 67 DECITEX",267221063
5403,"ARTIFICIAL FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING ARTIFICIAL MONOFILAMENTS OF LESS THAN 67 DECITEX",1050979
5404,"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE, WITH NO CROSS-SECTIONAL DIMENSION OVER 1 MM; STRIP ETC. OF SYNTHETIC TEXTILES NOT OVER 5 MM IN WIDTH",15388249
5405,"ARTIFICIAL MONOFILAMENT OF 67 DECITEX OR MORE, WITH NO CROSS-SECTIONAL DIMENSION OVER 1 MM; STRIP ETC. OF ARTIFICIAL TEXTILE NOT OVER 5 MM IN WIDTH",90900
5406,"MANMADE FILAMENT YARN (OTHER THAN SEWING THREAD), PUT UP FOR RETAIL SALE",5137142
5407,"WOVEN FABRICS OF SYNTHETIC FILAMENT YARN, INCLUDING THOSE OF MONOFILAMENTS 67 DECITEX OR MORE, NOT OVER 1 MM CROSS-SECTION AND OF STRIP NOT OVER 5 MM",217078164
5408,"WOVEN FABRICS OF ARTIFICIAL FILAMENT YARN, INCLUDING THOSE OF MONOFILAMENTS 67 DECITEX OR MORE, NOT OVER 1 MM CROSS-SECTION AND OF STRIP NOT OVER 5 MM",5045848
5501,SYNTHETIC FILAMENT TOW,3016301
5502,ARTIFICIAL FILAMENT TOW,164843
5503,"SYNTHETIC STAPLE FIBERS, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING",166274196
5504,"ARTIFICIAL STAPLE FIBERS, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING",79358906
5505,"WASTE OF MANMADE FIBERS (INCLUDING NOILS, YARN WASTE AND GARNETTED STOCK)",35168
5506,"SYNTHETIC STAPLE FIBERS, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING",272350
5507,"ARTIFICAL STAPLE FIBERS, CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING",300520
5508,"SEWING THREAD OF MANMADE STAPLE FIBERS, WHETHER OR NOT PUT UP FOR RETAIL SALE",7903371
5509,"YARN (OTHER THAN SEWING THREAD) OF SYNTHETIC STAPLE FIBERS, NOT PUT UP FOR RETAIL SALE",13033115
5510,"YARN (OTHER THAN SEWING THREAD) OF ARTIFICIAL STAPLE FIBERS, NOT PUT UP FOR RETAIL SALE",10640262
5511,"YARN (OTHER THAN SEWING THREAD) OF MANMADE STAPLE FIBERS, PUT UP FOR RETAIL SALE",20007763
5512,"WOVEN FABRICS OF SYNTHETIC STAPLE FIBERS, CONTAINING 85% OR MORE BY WEIGHT OF SYNTHETIC STAPLE FIBERS",22359177
5513,"WOVEN FABRICS OF SYNTHETIC STAPLE FIBERS, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBERS, MIXED MAINLY WITH COTTON, WEIGHING NOT OVER 170 G/M2",11508362
5514,"WOVEN FABRICS OF SYNTHETIC STAPLE FIBERS, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBERS, MIXED MAINLY WITH COTTON, WEIGHING OVER 170 G/M2",6251352
5515,"WOVEN FABRICS OF SYNTHETIC STAPLE FIBERS (CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBERS, MIXED MAINLY WITH MATERIALS OTHER THAN COTTON) NESOI",30759126
5516,WOVEN FABRICS OF ARTIFICIAL STAPLE FIBERS,52699551
5601,"WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF; TEXTILE FIBERS, NOT OVER 5 MM (0.197 IN.) IN LENGTH, TEXTILE DUST AND MILL NEPS",30422808
5602,"FELT, WHETHER OR NOT IMPREGNATED, COATED, COVERED OR LAMINATED",15935228
5603,"NONWOVENS (OF TEXTILE MATERIALS), WHETHER OR NOT IMPREGNATED, COATED, COVERED OR LAMINATED",279795154
5604,"RUBBER THREAD AND CORD, TEXTILE COVERED; TEXTILE YARN AND STRIP ETC. OF MANMADE MATERIALS OF SPECIFIC DIMENSIONS, COATED ETC. WITH RUBBER OR PLASTICS",4269174
5605,"METALLIZED MANMADE TEXTILE YARN OF 67 DECITEX OR MORE, NO CROSS-SECTION OVER 1 MM, GIMPED OR NOT, AND STRIP NOT OVER 5 MM WIDE COMBINED WITH METAL",1135182
5606,"GIMPED YARN AND STRIP NESOI, INCLUDING MANMADE TEXTILE YARN AND STRIP WITH SPECIFIED DIMENSIONS (HEADING 5404 AND 5405); CHENILLE YARN; LOOPWALE-YARN",23428509
5607,"TWINE, CORDAGE, ROPE AND CABLE OF YARNS OR FIBERS, PRODUCED BY TWISTING OR BY PLAITING OR BRAIDING, WHETHER OR NOT COATED ETC. WITH RUBBER OR PLASTICS",89189058
5608,"KNOTTED NETTING OF TWINE, CORDAGE OR ROPE; MADE-UP FISHING NETS AND OTHER MADE-UP NETS, OF TEXTILE MATERIALS",25510370
5609,"ARTICLES OF YARN, STRIP OR THE LIKE OF SPECIFIED DIMENSIONS (HEADING 5404 AND 5405), TWINE, CORDAGE, ROPE OR CABLES, NESOI",136528028
5701,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, KNOTTED, WHETHER OR NOT MADE-UP",16506843
5702,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, WOVEN, NOT TUFTED OR FLOCKED, INCLUDING KELEM, SCHUMACKS, KARAMANIE AND SIMILAR HAND-WOVEN RUGS",141002196
5703,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, TUFTED, WHETHER OR NOT MADE-UP",286356839
5704,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS, OF FELT, NOT TUFTED OR FLOCKED, WHETHER OR NOT MADE-UP",18062118
5705,"CARPETS AND OTHER TEXTILE FLOOR COVERINGS (WHETHER OR NOT MADE-UP), NESOI",144019540
5801,WOVEN PILE FABRICS AND CHENILLE FABRICS (OTHER THAN WOVEN TERRY OR TUFTED FABRICS AND NARROW WOVEN FABRICS NOT OVER 30 CM IN WIDTH) NESOI,89243670
5802,"WOVEN TERRY TOWELING AND SIMILAR TERRY FABRICS, OTHER THAN NARROW FABRICS NOT OVER 30 CM IN WIDTH; TUFTED TEXTILE FABRICS, OTHER THAN FLOOR COVERINGS",1082588
5803,GAUZE NESOI (OTHER THAN NARROW FABRICS NOT OVER 30 CM OR 11.811 IN. IN WIDTH),3946059
5804,"TULLES AND OTHER NET FABRICS, NOT INCLUDING WOVEN, KNITTED OR CROCHETED FABRICS; LACE IN THE PIECE, IN STRIPS OR MOTIFS, EXCEPT FABRICS OF 6002",12306318
5805,"HANDWOVEN TAPESTRIES SIMILAR TO GOBELINS, FLANDERS, AUBUSSON OR BEAUVAIS AND NEEDLEWORKED TAPESTRIES (PETIT POINT, CROSS-STITCH ETC.), MADE-UP OR NOT",274427
5806,"NARROW WOVEN FABRICS (OTHER THAN LABELS AND SIMILAR ARTICLES, IN THE PIECE ETC.); NARROW FABRICS ASSEMBLED (WITHOUT A WEFT) BY MEANS OF AN ADHESIVE",107464896
5807,"LABELS, BADGES AND SIMILAR ARTICLES OF TEXTILE MATERIALS, IN THE PIECE, IN STRIPS OR CUT TO SHAPE OR SIZE, NOT EMBROIDERED",12096524
5808,"BRAIDS IN THE PIECE; ORNAMENTAL TRIMMINGS IN THE PIECE, WITHOUT EMBROIDERY, OTHER THAN KNITTED OR CROCHETED; TASSELS, POMPONS AND SIMILAR ARTICLES",18349560
5809,"WOVEN FABRICS OF METAL THREAD AND WOVEN FABRICS OF METALLIZED YARN (HEADING 5605), OF A KIND USED IN APPAREL, AS FURNISHING FABRICS ETC., NESOI",140124
5810,"EMBROIDERY IN THE PIECE, IN STRIPS OR IN MOTIFS",44207651
5811,"QUILTED TEXTILE PRODUCTS IN THE PIECE (ONE OR MORE LAYERS ASSEMBLED WITH PADDING BY STITCHING ETC.), OTHER THAN EMBROIDERY",3474946
5901,"TEXTILE FABRICS COATED, FOR THE OUTER COVERS OF BOOKS ETC.; TRACING CLOTH; PREPARED PAINTING CANVAS; BUCKRAM AND SIMILAR FABRICS FOR HAT FOUNDATIONS",47151193
5902,"TIRE CORD FABRIC OF HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES, POLYESTERS OR VISCOSE RAYON",45358370
5903,"TEXTILE FABRICS IMPREGNATED, COATED, COVERED OR LAMINATED WITH PLASTICS, OTHER THAN TIRE CORD FABRIC",242270114
5904,"LINOLEUM, WHETHER OR NOT CUT TO SHAPE; FLOOR COVERINGS WITH A COATING OR COVERING APPLIED ON A TEXTILE BACKING, WHETHER OR NOT CUT TO SHAPE",344514
5905,TEXTILE WALL COVERINGS,4738460
5906,"RUBBERIZED TEXTILE FABRICS, OTHER THAN TIRE CORD FABRIC",63788475
5907,"TEXTILE FABRICS OTHERWISE IMPREGNATED, COATED OR COVERED; PAINTED CANVAS BEING THEATRICAL SCENERY, STUDIO BACK-CLOTHS OR THE LIKE",17401787
5908,"TEXTILE WICKS FOR LAMPS, STOVES, LIGHTERS, CANDLES ETC; GAS MANTLES AND TUBULAR KNITTED GAS MANTLE FABRIC, WHETHER OR NOT IMPREGNATED",501589
5909,"TEXTILE HOSEPIPING AND SIMILAR TEXTILE TUBING, WITH OR WITHOUT LINING, ARMOR OR ACCESSORIES OF OTHER MATERIALS",10450692
5910,"TRANSMISSION OR CONVEYOR BELTS OR BELTING, OF TEXTILE MATERIAL, WHETHER OR NOT REINFORCED WITH METAL OR OTHER MATERIAL OR COATED IMPREG WITH PLASTICS",8548209
5911,"TEXTILE PRODUCTS AND ARTICLES FOR SPECIFIED TECHNICAL USES, NESOI",72598047
6001,"PILE FABRICS, INCLUDING LONG PILE FABRICS AND TERRY FABRICS, KNITTED OR CROCHETED",79446284
6002,"KNITTED OR CROCHETED FABRICS, NESOI",3637584
6003,"KNITTED OR CROCHETED FABRICS OF A WIDTH NOT EXCEEDING 30 CM, OTHER THAN THOSE OF HEADING 6001 OR 6002",10294640
6004,"KNITTED OR CROCHETED FABRICS OF A WIDTH EXCEEDING 30 CM, CONTAINNG BY WEIGHT 5% OR MORE ELASTOMERIC YARN OR RUBBER THREAD, OTHER THAN THOSE HEAD 6001",54887665
6005,"WARP KNIT FABRICS (INCLUDING THOSE MADE ON GALLOON KNIT. MACHINES), OTHER THAN THOSE OF HEADING 6001 TO 6004",74834555
6006,"KNITTED OR CROCHETED FABRICS, NESOI",208065858
6501,"HAT FORMS, HAT BODIES AND HOODS OF FELT, NEITHER BLOCKED TO SHAPE NOR WITH MADE BRIMS; PLATEAUX AND MANCHONS (INCLUDING SLIT MANCHONS), OF FELT",121943
6502,"HAT SHAPES, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, NEITHER BLOCKED TO SHAPE, NOR WITH MADE BRIMS, NOR LINED, NOR TRIMMED",5629331
6504,"HATS AND OTHER HEADGEAR, PLAITED OR MADE BY ASSEMBLING STRIPS OF ANY MATERIAL, WHETHER OR NOT LINED OR TRIMMED",70562643
6505,"HATS AND OTHER HEADGEAR, KNITTED OR CROCHETED, OR MADE UP FROM LACE, FELT OR OTHER TEXTILE FABRIC, IN THE PIECE (NO STRIPS); HAIR NETS OF ANY MATERIAL",1106653094
6506,"HEADGEAR NESOI, WHETHER OR NOT LINED OR TRIMMED",328496251
6507,"HEADBANDS, LININGS, COVERS, HAT FOUNDATIONS, HAT FRAMES, PEAKS (VISORS), AND CHINSTRAPS FOR HEADGEAR",19389916
6701,"SKINS AND OTHER PARTS OF BIRDS WITH THEIR FEATHERS OR DOWN, BLEACHED, DYED OR PROCESSED AND ARTICLES OF FEATHERS OR DOWN NESOI",19365352
6801,"SETTS, CURBSTONES AND FLAGSTONES, OF NATURAL STONE (EXCEPT SLATE)",3198140
6802,"WORKED MONUMENTAL OR BUILDING STONE AND ARTICLES THEREOF NESOI; MOSAIC CUBES AND THE LIKE AND COLORED GRANULES, CHIPPINGS AND POWDER, OF NATURAL STONE",619233494
6803,WORKED SLATE AND ARTICLES OF SLATE OR AGGLOMERATED SLATE,27535908
6804,"MILLSTONES, GRINDING WHEELS AND THE LIKE (NO FRAMEWORKS), FOR GRINDING, SHARPENING ETC., AND PARTS THEREOF, OF NATURAL STONE, ABRASIVES OR CERAMICS",87307550
6805,"NATURAL OR ARTIFICIAL ABRASIVE POWDER OR GRAIN, ON A BASE OF TEXTILES, PAPER OR OTHER MATERIAL, WHETHER OR NOT CUT TO SHAPE, SEWN OR OTHERWISE MADE UP",61107290
6806,"MINERAL WOOLS (SLAG, ROCK ETC.); EXFOLIATED VERMICULITE, EXPANDED CLAYS AND THE LIKE; MIXTURES AND ARTICLES OF INSULATING MINERAL MATERIALS NESOI",10375989
6807,"ARTICLES OF ASPHALT OR OF SIMILAR MATERIAL (FOR EXAMPLE, PETROLEUM BITUMEN OR COAL TAR PITCH)",1058129
6808,"PANELS, TILES, BLOCKS AND SIMILAR ARTICLES OF VEGETABLE FIBER, CHIPS OR OTHER WASTE, OF WOOD, AGGLOMERATED WITH CEMENT OR OTHER MINERAL BINDERS",3561281
6809,ARTICLES OF PLASTER OR OF COMPOSITIONS BASED ON PLASTER,6527705
6810,"ARTICLES OF CEMENT, CONCRETE OR ARTIFICIAL STONE, WHETHER OR NOT REINFORCED",1018250979
6811,"ARTICLES OF ASBESTOS-CEMENT, OF CELLULOSE FIBER-CEMENT OR THE LIKE",9718250
6812,"FABRICATED ASBESTOS FIBERS; SPECIFIED MIXTURES CONTAINING ASBESTOS; ARTICLES OF SUCH MIXTURES OR OF ASBESTOS (THREAD, FABRICS, CLOTHING ETC.), NESOI",171780
6813,"FRICTION MATERIAL AND ARTICLES THEREOF (SHEETS, ROLLS, STRIPS, DISCS ETC.), BASED ON ASBESTOS, OTHER MINERAL SUBSTANCES OR OF CELLULOSE",35877033
6814,"WORKED MICA AND ARTICLES OF MICA, INCLUDING AGGLOMERATED OR RECONSTITUTED MICA, WHETHER OR NOT ON A SUPPORT OF PAPER, PAPERBOARD OR OTHER MATERIALS",3923655
6815,"ARTICLES OF STONE OR OTHER MINERAL SUBSTANCES (INCLUDING CARBON FIBERS, ARTICLES OF CARBON FIBERS AND ARTICLES OF PEAT), NESOI",51650939
6901,"BRICKS, BLOCKS, TILES AND OTHER CERAMIC GOODS OF SILICEOUS FOSSIL MEALS (INCLUDING KIESELGUHR, TRIPOLITE OR DIATOMITE) OR SIMILAR SILICEOUS EARTHS",512869
6902,"REFRACTORY BRICKS, BLOCKS AND SIMILAR REFRACTORY CERAMIC CONSTRUCTIONAL GOODS, EXCEPT THOSE OF SILICEOUS FOSSIL MEALS OR SIMILAR SILICEOUS EARTHS",57859510
6903,"REFRACTORY CERAMIC GOODS (RETORTS, CRUCIBLES, MUFFLES, PLUGS, TUBES, SHEATHS ETC.), NESOI",29093588
6904,"CERAMIC BUILDING BRICKS, FLOORING BLOCKS, SUPPORT OR FILLER TILES AND SIMILAR PRODUCTS",3024010
6905,"ROOFING TILES, CHIMNEY POTS, COWLS, CHIMNEY LINERS, ARCHITECTURAL ORNAMENTS AND OTHER CERAMIC CONSTRUCTIONAL GOODS",322190
6906,"CERAMIC PIPES, CONDUITS, GUTTERING AND PIPE FITTINGS",481960
6907,"UNGLAZED CERAMIC FLAGS AND PAVING, HEARTH OR WALL TILES; UNGLAZED CERAMIC MOSAIC CUBES AND SIMILAR PRODUCTS",457986278
6909,CERAMIC WARES FOR LABORATORY OR OTHER TECHNICAL USES; CERAMIC TROUGHS ETC. USED IN AGRICULTURE; CERAMIC CONTAINERS USED TO TRANSPORT OR PACK GOODS,52279005
6914,CERAMIC ARTICLES NESOI,53414409
7001,CULLET AND OTHER WASTE AND SCRAP OF GLASS; GLASS IN THE MASS,2941707
7002,"GLASS IN BALLS (EXCEPT MICROSPHERES), RODS OR TUBES, UNWORKED",20589344
7003,"CAST GLASS AND ROLLED GLASS, IN SHEETS OR PROFILES, WHETHER OR NOT HAVING AN ABSORBENT, REFLECTING OR NONREFLECTING LAYER, BUT NOT OTHERWISE WORKED",7474656
7004,"DRAWN GLASS AND BLOWN GLASS, IN SHEETS, WHETHER OR NOT HAVING AN ABSORBENT, REFLECTING OR NONREFLECTING LAYER, BUT NOT OTHERWISE WORKED",6732710
7005,"FLOAT GLASS AND SURFACE GROUND OR POLISHED GLASS, IN SHEETS, WHETHER OR NT HAVING AN ABSORBENT, REFLECTING/NONREFLECTING LAYER, BUT NT OTHERWISE WORKD",23716479
7006,"GLASS (CAST, ROLLED, DRAWN, BLOWN OR FLOAT, SURFACE GROUND, ETC.) BENT, EDGE-WORKED, ENGRAVED, ENAMELED OR OTHERWISE WORKED, NOT FRAMED OR FITTED",18493409
7007,"SAFETY GLASS, CONSISTING OF TOUGHENED (TEMPERED) OR LAMINATED GLASS",522112413
7008,MULTIPLE-WALLED INSULATING UNITS OF GLASS,64966443
7009,"GLASS MIRRORS, WHETHER OR NOT FRAMED, INCLUDING REARVIEW MIRRORS",473151401
7010,"GLASS CONTAINERS USED FOR THE CONVEYANCE OR PACKING OF GOODS; GLASS PRESERVING JARS; GLASS STOPPERS, LIDS AND OTHER GLASS CLOSURES",413423630
7011,"GLASS ENVELOPES (INCLUDING BULBS AND TUBES), OPEN, AND GLASS PARTS THEREOF, WITHOUT FITTINGS, FOR ELECTRIC LAMPS, CATHODE-RAY TUBES OR THE LIKE",5823582
7014,"SIGNALLING GLASSWARE AND OPTICAL ELEMENTS OF GLASS NESOI, NOT OPTICALLY WORKED",7317876
7016,"GLASS PAVING BLOCKS ETC. FOR BUILDING PURPOSES; GLASS CUBES ETC. FOR DECORATIVE PURPOSES; LEADED GLASS ARTICLES; FOAM GLASS IN BLOCKS, PANELS, ETC.",232403469
7017,"LABORATORY, HYGIENIC OR PHARMACEUTICAL GLASSWARE, WHETHER OR NOT GRADUATED OR CALIBRATED",23044900
7018,"GLASS BEADS, IMITATION STONES ETC. AND ARTICLES NESOI; GLASS EYES NESOI; LAMP-WORKED GLASS ORNAMENTS; GLASS MICROSPHERES, NOT OVER 1 MM IN DIAMETER",57611083
7019,"GLASS FIBERS (INCLUDING GLASS WOOL) AND ARTICLES THEREOF, INCLUDING YARN AND WOVEN FABRICS",380891672
7020,"ARTICLES OF GLASS, NESOI",66573301
7102,"DIAMONDS, WHETHER OR NOT WORKED, BUT NOT MOUNTED OR SET",384139
7105,DUST AND POWDER OF NATURAL OR SYNTHETIC PRECIOUS OR SEMIPRECIOUS STONES,34510217
7106,"SILVER (INCLUDING SILVER PLATED WITH GOLD OR PLATINUM), UNWROUGHT OR IN SEMIMANUFACTURED FORMS, OR IN POWDER FORM",41456637
7107,"BASE METALS CLAD WITH SILVER, NOT FURTHER WORKED THAN SEMIMANUFACTRED",69443
7108,"GOLD (INCLUDING GOLD PLATED WITH PLATINUM), UNWROUGHT OR IN SEMIMANUFACTURED FORMS, OR IN POWDER FORM",1384278
7109,"BASE METALS OR SILVER, CLAD WITH GOLD, NOT FURTHER WORKED THAN SEMIMANUFACTURED",3090
7110,"PLATIMUN, UNWROUGHT OR IN SEMIMANUFACTURED FORMS, OR IN POWDER FORM",3037378
7111,"BASE METALS, SILVER OR GOLD, CLAD WITH PLATINUM, NOT FURTHER WORKED THAN SEMIMANUFACTURED",14477
7112,WASTE AND SCRAP OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL; OTHER WASTE AND SCRAP CONTAINING PRECIOUS METAL PRINCIPALLY USE FOR RECOVERY,40892715
7114,"ARTICLES OF GOLDSMITHS' OR SILVERSMITHS' WARES AND PARTS THEREOF, OF PRECIOUS METAL OR METAL CLAD WITH PRECIOUS METAL",2874002
7115,ARTICLES OF PRECIOUS METAL OR OF METAL CLAD WITH PRECIOUS METAL NESOI,3218840
7201,"PIG IRON AND SPIEGELEISEN IN PIGS, BLOCKS OR OTHER PRIMARY FORMS",304996
7202,FERROALLOYS,63060677
7203,"SPONGY FERROUS PRODUCTS FROM DIRECT REDUCTION OF ORE AND PRODUCTS IN LUMPS, PELLETS ETC.; IRON, AT LEAST 99.94% (WT.) PURE, IN LUMPS, PELLETS ETC.",195983
7204,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL,1494533
7205,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL",15605995
7216,"ANGLES, SHAPES AND SECTIONS OF IRON OR NONALLOY STEEL",7385339
7301,"SHEET PILING OF IRON OR STEEL, WHETHER OR NOT DRILLED, PUNCHED OR MADE FROM ASSEMBLED ELEMENTS; WELDED ANGLES, SHAPES AND SECTIONS, OF IRON OR STEEL",10204619
7302,RAILWAY OR TRAMWAY TRACK CONSTRUCTION MATERIAL OF IRON OR STEEL,10230871
7303,"TUBES, PIPES AND HOLLOW PROFILES OF CAST IRON",20695817
